Original,Inflection,rbl_ara_folding,is_same
وجد,وجدتن,جاد,False
وجد,وجد,جد,False
وجد,وجدت,جد,False
وجد,وجدا,جدا,False
وجد,وجدتا,جد,False
وجد,وجدوا,جد,False
وجد,وجدن,جاد,False
وجد,وجدنا,جاد,False
وجد,جد,جد,False
وجد,جدي,جدي,False
وجد,جدوا,جد,False
وجد,جدن,جاد,False
دعا,دعا,دعا,True
دعا,أدعو,دعا,True
دعا,تدعو,دعا,True
دعا,تدعين,دعا,True
دعا,تدعي,ادعى,False
دعا,تدعون,دع,False
دعا,تدعوا,دعا,True
دعا,تدعون,دع,False
دعا,يدعو,دعا,True
دعا,تدعو,دعا,True
دعا,يدعوان,دعا,True
دعا,يدعوا,دعا,True
دعا,تدعوان,دعا,True
دعا,تدعوا,دعا,True
دعا,يدعون,دع,False
دعا,يدعوا,دعا,True
دعا,يدعون,دع,False
دعا,ندعوا,,False
دعا,دعوت,دعا,True
دعا,دعوت,دعا,True
دعا,دعوت,دعا,True
دعا,دعوتم,دعا,True
دعا,دعوتن,دعا,True
دعا,دعا,دعا,True
دعا,دعت,دع,False
دعا,دعوا,دع,False
دعا,دعتا,دع,False
دعا,دعوا,دع,False
دعا,دعون,دعا,True
دعا,دعونا,دعا,True
دعا,أدعو,دعا,True
دعا,أدعي,دعا,True
دعا,أدعوا,دعا,True
دعا,أدعون,,False
رمى,رمى,رمى,True
رمى,أرمي,رمى,True
رمى,ترمي,رمى,True
رمى,ترمين,رمى,True
رمى,ترمي,رمى,True
رمى,ترموا,رم,False
رمى,ترمون,رم,False
رمى,ترمن,رام,False
رمى,يرمي,رمى,True
رمى,ترمي,رمى,True
رمى,يرميان,رمى,True
رمى,يرميا,رمى,True
رمى,ترميان,رمى,True
رمى,ترميا,رمى,True
رمى,يرمون,رم,False
رمى,يرموا,رم,False
رمى,يرمن,رام,False
رمى,نرمي,رمى,True
رمى,رميت,رمى,True
رمى,رميت,رمى,True
رمى,رميت,رمى,True
رمى,رميتم,رمى,True
رمى,رميتن,رمى,True
رمى,رمى,رمى,True
رمى,رمت,رم,False
رمى,رميا,رمى,True
رمى,رمتا,رم,False
رمى,رموا,رم,False
رمى,رمين,رمى,True
رمى,رمينا,رمى,True
رمى,أرم,ارم,False
رمى,أرمي,رمى,True
رمى,أرموا,ارم,False
رمى,أرمن,ارمني,False
بكى,بكى,بكى,True
بكى,أبكي,ابكى,False
بكى,تبكي,بكى,True
بكى,تبكين,بكى,True
بكى,تبكي,بكى,True
بكى,تبكون,بكى,True
بكى,تبكوا,بكى,True
بكى,تبكن,تب,False
بكى,يبكي,بكى,True
بكى,تبكي,بكى,True
بكى,يبكيا,بكي,False
بكى,يبكيان,بكي,False
بكى,تبكيان,بكي,False
بكى,تبكيا,بكي,False
بكى,يبكون,بكي,False
بكى,يبكوا,بكى,True
بكى,يبكن,,False
بكى,نبكي,بكي,False
بكى,بكيت,بكي,False
بكى,بكيت,بكي,False
بكى,بكيت,بكي,False
بكى,بكيتم,بكى,True
بكى,بكيتمن,,False
بكى,بكى,بكى,True
بكى,بكت,بكى,True
بكى,بكيا,بكى,True
بكى,بكتا,بكى,True
بكى,بكوا,بكى,True
بكى,بكين,بيجينغ,False
بكى,بكينا,بكى,True
بكى,أبك,اب,False
بكى,أبكي,ابكى,False
بكى,أبكوا,ابكى,False
بكى,أبكن,اب,False
دنا,دنا,دان,False
دنا,أدنو,دنا,True
دنا,تدنو,دنا,True
دنا,تدنين,دنا,True
دنا,تدني,دني,False
دنا,تدنون,ادنى,False
دنا,تدنوا,تدنى,False
دنا,تدنون,ادنى,False
دنا,يدنو,دنا,True
دنا,تدنو,دنا,True
دنا,يدنوان,دنا,True
دنا,يدنوا,دنا,True
دنا,تدنوان,دنا,True
دنا,تدنوا,تدنى,False
دنا,يدنون,دني,False
دنا,يدنوا,دنا,True
دنا,يدنون,دني,False
دنا,ندنوا,,False
دنا,دنوت,دنا,True
دنا,دنوت,دنا,True
دنا,دنوت,دنا,True
دنا,دنوتم,دنا,True
دنا,دنوتن,دنا,True
دنا,دنا,دان,False
دنا,دنت,دنا,True
دنا,دنوا,دنا,True
دنا,دنتا,دنا,True
دنا,دنوا,دنا,True
دنا,دنون,دنا,True
دنا,دنونا,دنا,True
دنا,أدن,ادان,False
دنا,أدني,ادنى,False
دنا,أدنوا,ادنى,False
دنا,أدنون,ادنى,False
قال,قال,,False
قال,أقول,قال,True
قال,تقول,قال,True
قال,تقولين,قال,True
قال,تقولي,قال,True
قال,تقولون,قال,True
قال,تقولوا,قال,True
قال,تقولن,,False
قال,يقول,قال,True
قال,تقول,قال,True
قال,يقولا,قال,True
قال,يقولان,قال,True
قال,تقولان,قال,True
قال,تقولا,تقول,False
قال,يقولون,قال,True
قال,يقولوا,قال,True
قال,يقلن,قال,True
قال,نقول,قال,True
قال,قلت,قل,False
قال,قلت,قل,False
قال,قالت,قال,True
قال,قلتم,قال,True
قال,قلتن,قال,True
قال,قال,,False
قال,قالت,قال,True
قال,قالا,قال,True
قال,قالتا,قال,True
قال,قالوا,قال,True
قال,قلن,قال,True
قال,قلنا,قال,True
قال,قل,قل,False
قال,قولي,قال,True
قال,قولوا,قال,True
قال,قلن,قال,True
باع,باع,,False
باع,أبيع,باع,True
باع,تبيع,باع,True
باع,تبيعين,تبيع,False
باع,تبيعي,باع,True
باع,تبيعون,تبيع,False
باع,تبيعوا,اباع,False
باع,تبعن,بيع,False
باع,يبيع,باع,True
باع,تبيع,باع,True
باع,يبيعان,باع,True
باع,يبيعا,باع,True
باع,تبيعان,باع,True
باع,تبيعا,تبيع,False
باع,يبيعوا,باع,True
باع,يبيعون,باع,True
باع,يبعن,باع,True
باع,نبيع,باع,True
باع,بعت,باع,True
باع,بعت,باع,True
باع,بعت,باع,True
باع,بعتم,باع,True
باع,بعتن,باع,True
باع,باع,,False
باع,باعت,باع,True
باع,باعا,باع,True
باع,باعتا,باع,True
باع,باعوا,باع,True
باع,بعن,باع,True
باع,بعنا,باع,True
باع,بيع,بيع,False
باع,بع,,False
باع,بيعوا,بيع,False
باع,بعن,باع,True
نام,نام,,False
نام,أنام,انام,False
نام,تنام,نام,True
نام,تنامين,انام,False
نام,تنامي,تنامى,False
نام,تنامون,نام,True
نام,تناموا,تنامى,False
نام,تنمن,انام,False
نام,ينام,نام,True
نام,تنام,نام,True
نام,ينامان,نام,True
نام,يناما,نام,True
نام,تنامان,نام,True
نام,تناما,نام,True
نام,ينامون,نام,True
نام,يناموا,انام,False
نام,ينمن,نام,True
نام,ننام,نام,True
نام,نمت,نم,False
نام,نمت,نم,False
نام,نمت,نم,False
نام,نمتم,نام,True
نام,نمتن,نام,True
نام,نام,,False
نام,نامت,نام,True
نام,ناما,نام,True
نام,نامتا,نام,True
نام,ناموا,نام,True
نام,نمن,من,False
نام,نمنا,نام,True
نام,نم,نم,False
نام,نامي,نامي,False
نام,ناموا,نام,True
نام,نمن,من,False
صام,صام,,False
صام,أصوم,صام,True
صام,تصوم,صام,True
صام,تصومين,صام,True
صام,تصومي,صام,True
صام,يصومون,صام,True
صام,يصوموا,صام,True
صام,تصمن,صام,True
صام,يصوم,صام,True
صام,تصوم,صام,True
صام,يصومان,صام,True
صام,يصوما,صام,True
صام,تصومان,صام,True
صام,تصوما,صام,True
صام,يصومون,صام,True
صام,يصوموا,صام,True
صام,يصمن,صام,True
صام,نصوم,صام,True
صام,صمت,صم,False
صام,صمت,صم,False
صام,صمت,صم,False
صام,صمتم,صمت,False
صام,صمتن,صام,True
صام,صام,,False
صام,صامت,صام,True
صام,صاما,صام,True
صام,صامتا,صام,True
صام,صاموا,صام,True
صام,صمن,صام,True
صام,صمنا,صام,True
صام,صم,صم,False
صام,صومي,صوم,False
صام,صوموا,,False
صام,صمن,صام,True
ولى,ولى,لي,False
ولى,أولي,اولى,False
ولى,تولي,ولى,True
ولى,تولين,ولى,True
ولى,تولي,ولى,True
ولى,تولون,ولى,True
ولى,تولوا,تولى,False
ولى,تولين,ولى,True
ولى,يولي,ولى,True
ولى,تولي,ولى,True
ولى,يوليا,ولى,True
ولى,يوليان,ولى,True
ولى,توليا,تولي,False
ولى,توليان,ولى,True
ولى,يولوا,ولى,True
ولى,يولون,ولى,True
ولى,يولين,ولى,True
ولى,نولي,ولى,True
ولى,وليت,ليت,False
ولى,وليت,ليت,False
ولى,ولت,ولى,True
ولى,وليتم,ولى,True
ولى,وليتن,ولى,True
ولى,ولى,لي,False
ولى,ولت,ولى,True
ولى,وليا,لياء,False
ولى,ولتا,لت,False
ولى,ولوا,لواء,False
ولى,ولين,لين,False
ولى,ولينا,لين,False
ولى,ول,ل,False
ولى,ولي,لي,False
ولى,ولوا,لواء,False
ولى,ولين,لين,False
وصى,وصى,وصى,True
وصى,أوصي,اوصى,False
وصى,تزصي,,False
وصى,توصين,وصى,True
وصى,توصي,وصى,True
وصى,توصون,وصى,True
وصى,توصون,وصى,True
وصى,توصوا,وصى,True
وصى,يوصي,وصى,True
وصى,توصي,وصى,True
وصى,يوصيان,وصى,True
وصى,يوصيا,وصى,True
وصى,توصيان,وصى,True
وصى,توصيا,وصى,True
وصى,يوصون,وصى,True
وصى,يوصوا,وصى,True
وصى,يوصين,وصى,True
وصى,نوصي,وصى,True
وصى,وصيت,صيت,False
وصى,وصيت,صيت,False
وصى,وصت,صات,False
وصى,وصيتم,وصى,True
وصى,وصيتن,وصى,True
وصى,وصى,وصى,True
وصى,وصت,صات,False
وصى,وصيا,وصي,False
وصى,وصتا,وصى,True
وصى,وصوا,وصى,True
وصى,وصين,صين,False
وصى,وصينا,وصى,True
وصى,وص,ص,False
وصى,وصي,وصى,True
وصى,وصوا,وصى,True
وصى,وصين,صين,False
وأى,وأى,اي,False
وأى,أئي,,False
وأى,تئي,,False
وأى,تئين,ان,False
وأى,تئي,,False
وأى,تؤن,ان,False
وأى,تأوا,,False
وأى,تئين,ان,False
وأى,يئي,,False
وأى,تئي,,False
وأى,يئيان,,False
وأى,يئيا,,False
وأى,تئيان,,False
وأى,تئيا,,False
وأى,يؤن,ان,False
وأى,يؤا,,False
وأى,يئين,ان,False
وأى,نئي,نيء,False
وأى,وأيت,ايت,False
وأى,وأيت,ايت,False
وأى,وأيت,ايت,False
وأى,وأيتم,ايتم,False
وأى,وأيتن,ايتن,False
وأى,وأى,اي,False
وأى,وأت,,False
وأى,وأيا,اي,False
وأى,وأتا,اتا,False
وأى,وأوا,اوا,False
وأى,وأين,اين,False
وأى,وأينا,اين,False
وأى,إ,ا,False
وأى,إي,اي,False
وأى,أوا,,False
وأى,إين,,False
وقى,وقى,قياء,False
وقى,أقي,وقى,True
وقى,تقي,وقى,True
وقى,تقين,تقى,False
وقى,تقي,وقى,True
وقى,تقون,وقى,True
وقى,تقوا,تقى,False
وقى,تقين,تقى,False
وقى,يقي,وقى,True
وقى,تقي,وقى,True
وقى,يقيان,وقى,True
وقى,يقيا,وقى,True
وقى,تقيان,وقى,True
وقى,تقيا,تقى,False
وقى,يقون,وقى,True
وقى,يقوا,وقى,True
وقى,يقين,يقين,False
وقى,نقي,نقى,False
وقى,وقيت,وقى,True
وقى,وقيت,وقى,True
وقى,وقيت,وقى,True
وقى,وقيتم,وقى,True
وقى,وقيتن,وقى,True
وقى,وقى,قياء,False
وقى,وقت,وقت,False
وقى,وقيا,قياء,False
وقى,وقيتا,وقي,False
وقى,وقوا,قواء,False
وقى,وقين,قين,False
وقى,وقينا,وقى,True
وقى,ق,,False
وقى,قي,قياء,False
وقى,قوا,قواء,False
وقى,قن,قن,False
وعى,وعى,عي,False
وعى,أعي,وعى,True
وعى,تعي,وعى,True
وعى,تعي,وعى,True
وعى,تعين,عين,False
وعى,تعون,وعى,True
وعى,تعوا,وعى,True
وعى,تعين,عين,False
وعى,يعي,وعى,True
وعى,تعي,وعى,True
وعى,يعيان,وعى,True
وعى,يعيا,عي,False
وعى,تعيان,وعى,True
وعى,تعيا,عي,False
وعى,يعون,وعى,True
وعى,يعوا,وعى,True
وعى,يعين,اعان,False
وعى,نعي,نعى,False
وعى,وعيت,عي,False
وعى,وعيت,عي,False
وعى,وعيت,عي,False
وعى,وعيتم,وعى,True
وعى,وعيتن,وعى,True
وعى,وعى,عي,False
وعى,وعت,وعى,True
وعى,وعيا,عياء,False
وعى,وعيتا,عي,False
وعى,وعوا,وعى,True
وعى,وعين,عين,False
وعى,وعينا,عين,False
وعى,ع,,False
وعى,عي,عي,False
وعى,عوا,عواء,False
وعى,عين,عين,False
شوى,شوى,شواة,False
شوى,أشوي,شوى,True
شوى,تشوي,شوى,True
شوى,تشوي,شوى,True
شوى,تشوين,تشوين,False
شوى,تشون,شون,False
شوى,تشوا,وشى,False
شوى,تشون,شون,False
شوى,يشوي,شوى,True
شوى,تشوي,شوى,True
شوى,يشويان,شوى,True
شوى,يشويا,شوى,True
شوى,تشويان,شوى,True
شوى,تشويا,شوى,True
شوى,يشون,شون,False
شوى,يشوا,وشى,False
شوى,يشون,شون,False
شوى,نشوي,شوى,True
شوى,شويت,شوى,True
شوى,شويت,شوى,True
شوى,شويت,شوى,True
شوى,شويتم,شوى,True
شوى,شويتن,شوى,True
شوى,شوى,شواة,False
شوى,شوت,شوى,True
شوى,شويا,شوي,False
شوى,شوتا,شوى,True
شوى,شووا,شوى,True
شوى,شوين,شوى,True
شوى,شوينا,شوى,True
شوى,أشو,شوى,True
شوى,إشوي,,False
شوى,إشوا,,False
شوى,إشوين,,False
أتى,أتى,اتى,False
أتى,آتي,اتى,False
أتى,تأتي,اتى,False
أتى,تأتي,اتى,False
أتى,تأتين,اتى,False
أتى,تأتون,اتى,False
أتى,تأتوا,تاتى,False
أتى,تأتين,اتى,False
أتى,يأتي,اتى,False
أتى,تأتي,اتى,False
أتى,يأيتان,,False
أتى,يأتيا,اتى,False
أتى,تأتيان,اتى,False
أتى,تأتيا,تاتى,False
أتى,يأتون,اتى,False
أتى,يأتوا,اتى,False
أتى,يأتين,اتى,False
أتى,نأتي,اتى,False
أتى,أتيت,اتى,False
أتى,أتيت,اتى,False
أتى,أتيت,اتى,False
أتى,أتيتم,اتى,False
أتى,أتيتن,اتى,False
أتى,أتى,اتى,False
أتى,أتت,اتى,False
أتى,أتيا,اتى,False
أتى,أتتا,اتى,False
أتى,أتوا,اتى,False
أتى,أتين,اتى,False
أتى,أتينا,اتى,False
أتى,إيت,,False
أتى,إيتي,,False
أتى,إتوا,,False
أتى,إتين,,False
